Total Trials	New Doc Size	Original Rev. Top	Original Sub. Top	New Rev. Top	New Sub. Top	Avg. Rev. Rank	Avg. Sub. Rank
3188	0.00	3188	534	15	0	276.95	1984.29
3188	0.10	3188	534	0	7	770.43	1978.04
3188	0.20	3188	534	0	6	771.92	1975.30
3188	0.30	3188	534	0	7	773.02	1975.06
3188	0.40	3188	534	0	7	773.31	1975.18
3188	0.50	3188	534	0	7	773.39	1975.41
3188	0.60	3188	534	0	7	773.41	1974.77
3188	0.70	3188	534	0	7	773.59	1974.81
3188	0.80	3188	534	0	7	773.65	1974.86
3188	0.90	3188	534	0	7	773.48	1974.52
3188	1.00	3188	534	0	7	773.87	1975.38
